Rank,Image,Piece,Type,Retail low,Retail high,Target buy low,Target buy high,Max buy,Est landed (bulk),Gross margin %,Markup x,Notes
1,LG-13.jpg,Crescent-moon adjustable ring,Ring (adjustable),75,140,18,30,40,32,70,3.4,Celestial 'moon + moonstone' theme is a top seller; adjustable band removes sizing risk; vivid centred blue flash. Best all-round mover.
2,LG-01.jpg,Sea-turtle moonstone line bracelet (~8 ovals),Bracelet (statement),140,260,45,80,95,70,65,2.9,Coastal/turtle motif + row of blue-flash ovals = giftable statement piece. Highest single-piece ticket among the silver items.
3,LG-10.jpg,Three-stone oval moonstone ring,Ring (3-stone),90,160,25,45,55,43,66,2.9,"The strongest, most vivid blue flash in the batch; 3-stone layout reads as 'fine jewelry'. Premium look for a silver price."
4,LG-06.jpg,Open-heart pendant with moonstone,Pendant,60,120,15,28,38,30,67,3.0,Universal giftable heart shape; blue cab pops against open silver. Easy Valentine's/Mother's Day/anniversary seller.
5,LG-21.jpg,Moonstone cross pendant (11 cabs),Pendant,95,180,28,55,65,50,64,2.8,"Faith jewelry is a huge, steady U.S. category; a full moonstone cross is distinctive and higher perceived value."
6,LG-16.jpg,Art-deco fan ring (accent arc + moonstone),Ring (statement),85,160,22,42,55,40,67,3.0,Distinctive deco/celestial 'rising sun' design with pavé-look arc; looks far more expensive than its cost. Good margin.
7,LG-24.jpg,Faceted oval moonstone solitaire ring,Ring (solitaire),70,140,18,35,45,34,68,3.1,Faceted (not cabochon) moonstone reads as an alt-bridal / engagement stone; strong blue through the facets. On-trend.
8,LG-23.jpg,Dainty moonstone stacking ring,Ring (dainty),32,65,7,15,22,19,60,2.5,"Minimalist stacking rings sell in volume at low price; cheap to acquire, great multiples. Buy a size run."
9,LG-08.jpg,"Oval moonstone ring, polished leaf shoulders",Ring (solitaire),60,120,15,30,40,30,67,3.0,"Clean classic oval with strong blue flash; flattering everyday ring, broad appeal."
10,LG-05.jpg,S-swirl three-stone pendant,Pendant,60,120,15,30,40,30,67,3.0,Artisan modern swirl with three cabs (one strong blue); design-forward without being niche.
11,LG-11.jpg,Bypass round moonstone ring,Ring (modern),50,95,12,24,32,26,64,2.8,"Minimal open-bypass band with vivid blue round cab; trendy, low cost, easy multiples."
12,LG-20.jpg,Oval moonstone stud earrings,Earrings (studs),35,70,9,18,24,22,58,2.4,Everyday basics; pair with the rings/pendants as sets to lift average order value. Volume item.
13,LG-07.jpg,Oval moonstone ring with green accents,Ring (accent),65,125,16,32,42,32,66,3.0,Green side-accents (chrome-diopside look) add colour contrast and perceived value; stamped 925. Distinctive.
14,LG-18.jpg,Moonstone station necklace (~16 ovals)  [CONFIRM METAL],Necklace (station),170,330,80,150,150,123,51,2.0,"Best hero piece — a full moonstone 'by-the-yard' necklace. BUT it looks yellow gold/vermeil, not silver: if solid gold, retail is $700-1,600+ and cost is far higher. Confirm metal before pricing."
