Category,Band,Product name,Retailer,Positioning,Price shown (USD),URL,Research date,Price confidence
Ceylon / Sri Lankan Moonstone,A · Small / Basic,10mm Moonstone Stud Earrings in Sterling Silver,Ross-Simons,commodity,66.75,https://www.ross-simons.com/jewelry/gemstones--moonstone/,2026-08-11,"price in search snippet ($66.75 on sale from $89), verify on page"
Ceylon / Sri Lankan Moonstone,A · Small / Basic,Moonstone Tennis Bracelet in Sterling Silver,Ross-Simons,commodity,129.50,https://www.ross-simons.com/jewelry/bracelets/939320.html,2026-08-11,"price via eBay/Ross-Simons snippet ($129.50 from $185), verify on page"
Ceylon / Sri Lankan Moonstone,A · Small / Basic,Moonstone Stud Earrings (MOON),Bluemoonstone Creations,boutique,60.00,https://bluemoonstone.net/collections/silver-gold-gemstone-earrings,2026-08-11,"price in search snippet ($60), verify on page"
Ceylon / Sri Lankan Moonstone,A · Small / Basic,Moonstone Drop Earrings in Sterling Silver,Ross-Simons,commodity,,https://www.ross-simons.com/moonstone-drop-earrings-in-sterling-silver--885874.html,2026-08-11,price not shown in results; verify on page
Ceylon / Sri Lankan Moonstone,A · Small / Basic,Moonstone Ring Sterling Silver Adjustable Ring Blue Fire,Etsy,boutique,,https://www.etsy.com/listing/1105354185/moonstone-ring-sterling-silver,2026-08-11,price not shown in results; verify on Etsy listing
Ceylon / Sri Lankan Moonstone,B · Better Everyday,Moonstone & Blue Topaz Ring (18kt Rose Gold Vermeil),Moon Magic,boutique,203.50,https://moonmagic.com/products/moonstone-white-topaz-ring-my-match,2026-08-11,"price in search snippet ($203.50 sale from $238.70), verify on page"
Ceylon / Sri Lankan Moonstone,B · Better Everyday,"Turquoise, Moonstone and Blue Quartz Drop Earrings in 18kt Gold Over Sterling",Ross-Simons,commodity,179.00,https://www.ross-simons.com/moonstone-drop-earrings-in-18kt-gold-over-sterling-881452.html,2026-08-11,"price in search snippet ($179 from $219), verify on page"
Ceylon / Sri Lankan Moonstone,B · Better Everyday,Silver Moonstone Sun Studs (SUNNA),Bluemoonstone Creations,boutique,80.00,https://bluemoonstone.net/collections/silver-gold-gemstone-earrings,2026-08-11,"price in search snippet ($80), verify on page"
Ceylon / Sri Lankan Moonstone,B · Better Everyday,Blue Flash Moonstone Necklace: Sterling Silver Geometric Gemstone Pendant,Etsy,artisan,,https://www.etsy.com/listing/276088490/blue-flash-moonstone-necklace-sterling,2026-08-11,price not shown in results; verify on Etsy listing
Ceylon / Sri Lankan Moonstone,B · Better Everyday,Moonstone Ring 14k Gold - Elisa,Linjer,fine jewelry,255.00,https://www.linjer.co/en-us/products/moonstone-ring-14k-gold-elisa,2026-08-11,"price in search snippet ($255 sale from $319), verify on page"
Ceylon / Sri Lankan Moonstone,C · Premium,Sheena Moonstone Ring - 14K Gold with Blue Moonstone,Sam Gavriel Fine Jewelry,fine jewelry,,https://samgavriel.com/products/sheena-moonstone-ring,2026-08-11,price not shown in results; verify on page
Ceylon / Sri Lankan Moonstone,C · Premium,Blue Sheen Moonstone 14k Yellow Gold Ring (Handcrafted),Curated Los Angeles,fine jewelry,,https://www.curated-losangeles.com/products/blue-sheen-moonstone,2026-08-11,price not shown in results; verify on page
Ceylon / Sri Lankan Moonstone,C · Premium,14K Blue Sheen Moonstone Ring,Adrian Rose Jewelry,fine jewelry,,https://adrianrosejewelry.com/products/14k-blue-sheen-moonstone-ring,2026-08-11,price not shown in results; verify on page
Ceylon / Sri Lankan Moonstone,C · Premium,"14K Blue Sheen Moonstone Ring (3.27 ct, diamond accents)",1stDibs,fine jewelry,2800.00,https://www.1stdibs.com/jewelry/rings/cocktail-rings/14k-blue-sheen-moonstone-ring/id-j_26719002,2026-08-11,"price in search snippet ($2,800), verify on page"
Ceylon / Sri Lankan Moonstone,C · Premium,18 Karat Gold Ceylon Moonstone Daisy Bezel Ring,1stDibs (Faye Kim),fine jewelry,2000.00,https://www.1stdibs.com/jewelry/rings/fashion-rings/faye-kim-18-karat-gold-ceylon-moonstone-daisy-ring/id-j_8562772/,2026-08-11,"price in search snippet ($2,000 from $2,395), verify on page"
Ceylon / Sri Lankan Moonstone,C · Premium,18 Karat Gold Ceylon Moonstone Daisy Gold Pendant,1stDibs (Faye Kim),fine jewelry,2450.00,https://www.1stdibs.com/jewelry/necklaces/pendant-necklaces/faye-kim-18-karat-gold-ceylon-moonstone-daisy-gold-pendant/id-j_23645092,2026-08-11,"price in search snippet ($2,450), verify on page"
Ceylon / Sri Lankan Moonstone,C · Premium,Blue Flash Rainbow Moonstone 14k Gold Teardrop Pendant,Etsy,artisan,,https://www.etsy.com/listing/1779169349/blue-flash-rainbow-moonstone-14k-gold,2026-08-11,price not shown in results; verify on Etsy listing
